120.53882670 2148.28327542
120.55926119 1700.11005609
120.57969558 1502.18842597
120.60013017 1123.19472841
120.62056466 696.46998229
120.64099905 329.03375550
120.66143354 -174.41383414
120.68186813 -537.93480063
120.70230253 -947.69636080
120.72273702 -1391.95902526
120.74317161 -1857.17631251
120.76360600 -2331.22345220
120.78404049 -2783.60030675
120.80447498 -3231.13170887
120.82490947 -3675.06172292
120.84534396 -4022.92137413
120.86577845 -4329.58905171
120.88621304 -4659.69921673
120.90664743 -4856.48307235
120.92708192 -4945.08850497
120.94751651 -5046.51092068
120.96795090 -4987.23368123
120.98838539 -4923.91758679
121.00881978 -4699.75184260
121.02925437 -4350.51890923
121.04968886 -4031.66680431
121.07012335 -3548.81231339
121.09055784 -2974.75669472
121.11099233 -2389.84597338
121.13142682 -1666.74130127
121.15186121 -979.90083635
121.17229581 -248.00965936
121.19273030 377.70662479
121.21316469 1153.76417496
121.23359928 1682.98533781
121.25403377 2389.51520761
121.27446816 2991.59685502
121.29490265 3573.21211525
121.31533724 4006.34729792
121.33577173 4351.27545038
121.35620612 4713.97984063
121.37664071 4949.37282354
121.39707520 5138.82038992
121.41750959 5128.37588207
121.43794408 5135.37993810
121.45837867 4978.96702991
121.47881306 4816.82583141
121.49924755 4670.21676594
121.51968204 4329.79373051
121.54011663 4012.50552804
121.56055112 3522.39523988
121.58098552 3043.17414651
121.60142011 2661.14931531
121.62185460 2221.18586443
121.64228899 1732.02266264
121.66272348 1295.38189862
121.68315807 808.54376843
121.70359246 402.23406728
121.72402695 -85.84382609
121.74446154 -517.65599650
121.76489593 -1040.24316525
121.78533042 -1541.90779277
121.80576491 -2001.89200289
121.82619940 -2459.46929460
121.84663389 -2941.95465933
121.86706838 -3384.48731560
121.88750287 -3816.38678070
121.90793736 -4266.55814360
121.92837185 -4614.21567897
121.94880624 -4976.74760365
121.96924083 -5202.84242466
121.98967533 -5515.37858140
122.01010972 -5715.03955581
122.03054431 -5831.60893297
122.05097880 -5837.45422443
122.07141329 -5719.37080175
122.09184768 -5558.98945203
122.11228227 -5356.93193451
122.13271676 -5036.30594520
122.15315115 -4624.80192807
122.17358574 -4107.30919232
122.19402023 -3512.87147011
122.21445462 -2833.11343195
122.23488911 -2145.95449041
122.25532370 -1319.60145993
122.27575809 -524.49096736
122.29619258 342.97494593
122.31662717 1062.33656583
122.33706156 1864.69982558
122.35749605 2627.85017332
122.37793054 3256.13807172
122.39836513 3965.17610682
122.41879953 4629.35120326
122.43923402 5151.78836836
122.45966861 5680.95419054
122.48010300 5973.58911733
122.50053749 6251.90527361
122.52097188 6468.39793044
122.54140647 6615.97545737
122.56184096 6560.69526851
122.58227545 6556.16905030
122.60270994 6340.85240257
122.62314443 6141.21816712
122.64357892 5826.22664685
122.66401331 5469.95978550
122.68444790 4833.44696586
122.70488239 4539.42659096
122.72531678 4095.66697008
122.74575137 3537.70258697
122.76618586 2994.14487387
122.78662025 2475.44337684
122.80705474 1845.25175630
122.82748933 1317.51676189
122.84792382 677.52054358
122.86835831 -6.63804868
122.88879280 -709.91202819
122.90922729 -1318.41275022
122.92966178 -2010.03993823
122.95009618 -2565.71686089
122.97053077 -3170.48482165
122.99096526 -3771.05860330
123.01139965 -4363.98125736
123.03183424 -4954.72448998
123.05226873 -5490.77258636
123.07270322 -5970.67314554
123.09313761 -6320.03209023
123.11357220 -6744.81404656
123.13400669 -7064.91147152
123.15444108 -7252.20338532
123.17487567 -7425.11526150
123.19531016 -7403.24091681
123.21574455 -7361.70100302
123.23617904 -7146.10474149
123.25661363 -6992.91158385
123.27704802 -6626.00327573
123.31791710 -5496.51469631
123.33835149 -4769.35235743
123.35878598 -4057.01176649
123.37922047 -3196.86162557
123.39965506 -2374.25064575
123.42008945 -1462.10567361
123.44052394 -523.57267675
123.46095853 391.23993135
123.48139292 1371.58539903
123.50182741 2284.68011686
123.52226180 3225.60526976
123.54269639 4076.59015820
123.56313088 4936.13397343
123.58356537 5571.70618128
123.60399986 6222.36531131
123.62443435 6767.98825578
123.64486884 7283.81309731
123.66530323 7738.98131723
123.68573782 8113.49971036
123.70617231 8331.67352166
123.72660670 8425.34770599
123.74704129 8475.82634037
123.76747578 8374.49115938
123.78791017 8262.99095048
123.80834466 8006.48109296
123.82877925 7623.65944261
123.84921364 7255.40569649
123.86964813 6771.31943690
123.89008272 6233.29591722
123.91051721 5524.38733700
123.93095160 4809.35020505
123.95138609 4111.39826075
123.97182068 3295.98033777
123.99225507 2429.62542335
124.01268956 1638.86404194
124.03312415 790.36928245
124.05355854 -91.92417875
124.07399303 -937.43565368
124.09442752 -1912.49727215
124.11486201 -2809.85092767
124.13529650 -3708.88907576
124.15573099 -4521.51543573
124.17616558 -5341.67387484
124.19659997 -6123.05391408
124.21703446 -6773.40912502
124.23746895 -7379.53172547
124.25790344 -7949.48229065
124.27833793 -8433.64004258
124.29877242 -8784.99160455
124.31920701 -9046.80456004
124.33964140 -9186.12271392
124.36007589 -9198.94406888
124.38051038 -9067.70305411
124.40094487 -8876.93150554
124.42137936 -8563.69075610
124.44181384 -8114.50496142
124.46224843 -7546.53259438
124.48268282 -6947.67544031
124.50311731 -6180.11176960
124.52355170 -5340.18008625
124.54398629 -4518.25300314
124.56442078 -3519.92091665
124.58485517 -2435.85247655
124.60528976 -1344.48699977
124.62572425 -176.39391235
124.64615874 974.65445250
124.66659313 2011.19971778
124.68702772 2988.95973437
124.70746221 4021.92071032
124.72789660 4965.32209274
124.74833119 5966.56237085
124.76876568 6878.79560118
124.78920007 7880.89672629
